date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:35:34	158042/158042	---M--	200	added ('OK')	image/webp	etag:%222695a-68c2698a-61c206b483cc08c0;;;%22	https://html.themewant.com/moonlit/assets/images/pages/header__bg.webp	C:/My%20Web%20Sites/Boston%20suites/html.themewant.com/moonlit/assets/images/pages/header__bg.webp	(from https://html.themewant.com/moonlit/room-one.html)
16:35:35	28324/28324	---M--	200	added ('OK')	image/webp	etag:%226ea4-68c2698a-3bb1eb61777cf762;;;%22	https://html.themewant.com/moonlit/assets/images/pages/room/1.webp	C:/My%20Web%20Sites/Boston%20suites/html.themewant.com/moonlit/assets/images/pages/room/1.webp	(from https://html.themewant.com/moonlit/room-one.html)
16:35:35	31958/31958	---M--	200	added ('OK')	image/webp	etag:%227cd6-68c2698a-ce45054446566210;;;%22	https://html.themewant.com/moonlit/assets/images/pages/room/2.webp	C:/My%20Web%20Sites/Boston%20suites/html.themewant.com/moonlit/assets/images/pages/room/2.webp	(from https://html.themewant.com/moonlit/room-one.html)
16:35:37	32364/32364	---M--	200	added ('OK')	image/webp	etag:%227e6c-68c2698a-14d0dade5db4f903;;;%22	https://html.themewant.com/moonlit/assets/images/pages/room/4.webp	C:/My%20Web%20Sites/Boston%20suites/html.themewant.com/moonlit/assets/images/pages/room/4.webp	(from https://html.themewant.com/moonlit/room-one.html)
16:35:38	65588/65588	---M--	200	added ('OK')	image/webp	etag:%2210034-68c2698a-99b5c489a12cbe8c;;;%22	https://html.themewant.com/moonlit/assets/images/pages/room/3.webp	C:/My%20Web%20Sites/Boston%20suites/html.themewant.com/moonlit/assets/images/pages/room/3.webp	(from https://html.themewant.com/moonlit/room-one.html)
16:35:38	42998/42998	---M--	200	added ('OK')	image/webp	etag:%22a7f6-68c2698a-bd62a6aeb6f3967c;;;%22	https://html.themewant.com/moonlit/assets/images/pages/room/5.webp	C:/My%20Web%20Sites/Boston%20suites/html.themewant.com/moonlit/assets/images/pages/room/5.webp	(from https://html.themewant.com/moonlit/room-one.html)
16:35:38	53564/53564	---M--	200	added ('OK')	image/webp	etag:%22d13c-68c2698a-e2ee4ef583cc2e35;;;%22	https://html.themewant.com/moonlit/assets/images/pages/room/6.webp	C:/My%20Web%20Sites/Boston%20suites/html.themewant.com/moonlit/assets/images/pages/room/6.webp	(from https://html.themewant.com/moonlit/room-one.html)
16:35:39	310/310	---M-Z	200	added ('OK')	image/svg+xml	etag:%22136-68c2698a-a1bd32754e2a23cc;gz%22	https://html.themewant.com/moonlit/assets/images/icon/arrow-left-short.svg	C:/My%20Web%20Sites/Boston%20suites/html.themewant.com/moonlit/assets/images/icon/arrow-left-short.svg	(from https://html.themewant.com/moonlit/room-one.html)
16:35:39	311/311	---M-Z	200	added ('OK')	image/svg+xml	etag:%22137-68c2698a-721b8523725db6d3;gz%22	https://html.themewant.com/moonlit/assets/images/icon/arrow-right-short.svg	C:/My%20Web%20Sites/Boston%20suites/html.themewant.com/moonlit/assets/images/icon/arrow-right-short.svg	(from https://html.themewant.com/moonlit/room-one.html)
16:35:41	19852/19852	---M--	200	added ('OK')	image/webp	etag:%224d8c-68c2698a-717c8b6f850de284;;;%22	https://html.themewant.com/moonlit/assets/images/author/author-2x.webp	C:/My%20Web%20Sites/Boston%20suites/html.themewant.com/moonlit/assets/images/author/author-2x.webp	(from https://html.themewant.com/moonlit/room-one.html)
16:35:43	56446/56446	---M--	200	added ('OK')	image/webp	etag:%22dc7e-68c2698a-3bb3254dc9f32770;;;%22	https://html.themewant.com/moonlit/assets/images/author/author-5.webp	C:/My%20Web%20Sites/Boston%20suites/html.themewant.com/moonlit/assets/images/author/author-5.webp	(from https://html.themewant.com/moonlit/room-one.html)
16:35:43	11999/11999	---M-Z	200	added ('OK')	image/svg+xml	etag:%222edf-68c2698a-c4d473e8d790024c;gz%22	https://html.themewant.com/moonlit/assets/images/logo/logo__two.svg	C:/My%20Web%20Sites/Boston%20suites/html.themewant.com/moonlit/assets/images/logo/logo__two.svg	(from https://html.themewant.com/moonlit/room-one.html)
16:35:44	1628/1628	---M-Z	200	added ('OK')	image/svg+xml	etag:%2265c-68c2698a-971d5f0b0d8c821e;gz%22	https://html.themewant.com/moonlit/assets/images/footer/shape-1.svg	C:/My%20Web%20Sites/Boston%20suites/html.themewant.com/moonlit/assets/images/footer/shape-1.svg	(from https://html.themewant.com/moonlit/room-one.html)
16:35:44	2150/2150	---M-Z	200	added ('OK')	image/svg+xml	etag:%22866-68c2698a-8f657e215536d537;gz%22	https://html.themewant.com/moonlit/assets/images/footer/shape-2.svg	C:/My%20Web%20Sites/Boston%20suites/html.themewant.com/moonlit/assets/images/footer/shape-2.svg	(from https://html.themewant.com/moonlit/room-one.html)
16:35:45	2216/2216	---M-Z	200	added ('OK')	image/svg+xml	etag:%228a8-68c2698a-b7166f3fc73b2cb6;gz%22	https://html.themewant.com/moonlit/assets/images/footer/shape-3.svg	C:/My%20Web%20Sites/Boston%20suites/html.themewant.com/moonlit/assets/images/footer/shape-3.svg	(from https://html.themewant.com/moonlit/room-one.html)
16:35:46	651442/651442	---M-Z	200	added ('OK')	application/x-javascript	etag:%229f0b2-68c2698a-77ac23532eaae159;gz%22	https://html.themewant.com/moonlit/assets/js/plugins.min.js	C:/My%20Web%20Sites/Boston%20suites/html.themewant.com/moonlit/assets/js/plugins.min.js	(from https://html.themewant.com/moonlit/room-one.html)
16:35:46	17003/17003	---M-Z	200	added ('OK')	application/x-javascript	etag:%22426b-68c2698a-f5b279656439ed11;gz%22	https://html.themewant.com/moonlit/assets/js/gdpr.js	C:/My%20Web%20Sites/Boston%20suites/html.themewant.com/moonlit/assets/js/gdpr.js	(from https://html.themewant.com/moonlit/room-one.html)
16:35:48	14538/14538	---M-Z	200	added ('OK')	application/x-javascript	etag:%2238ca-68c2698a-4161343301ae1bdf;gz%22	https://html.themewant.com/moonlit/assets/js/main.js	C:/My%20Web%20Sites/Boston%20suites/html.themewant.com/moonlit/assets/js/main.js	(from https://html.themewant.com/moonlit/room-one.html)
16:35:48	0/0	---M--	429	error ('Too%20Many%20Requests')	text/html	date:Tue,%2020%20Jan%202026%2013:35:48%20GMT	https://html.themewant.com/moonlit/assets/fonts/flaticon_bokinn.woff?237dfe65834f05ae55285c68505d7dff	C:/My%20Web%20Sites/Boston%20suites/html.themewant.com/moonlit/assets/fonts/flaticon_bokinn716c.woff	(from https://html.themewant.com/moonlit/assets/fonts/flaticon_bokinn.css)
16:35:48	9400/9400	---M--	200	added ('OK')	font/woff2	etag:%2224b8-68c2698a-909524cadaafde0;;;%22	https://html.themewant.com/moonlit/assets/fonts/flaticon_bokinn.woff2?237dfe65834f05ae55285c68505d7dff	C:/My%20Web%20Sites/Boston%20suites/html.themewant.com/moonlit/assets/fonts/flaticon_bokinn716c.woff2	(from https://html.themewant.com/moonlit/assets/fonts/flaticon_bokinn.css)
16:35:49	0/0	---M--	429	error ('Too%20Many%20Requests')	text/html	date:Tue,%2020%20Jan%202026%2013:35:48%20GMT	https://html.themewant.com/moonlit/assets/fonts/flaticon_bokinn.eot?237dfe65834f05ae55285c68505d7dff	C:/My%20Web%20Sites/Boston%20suites/html.themewant.com/moonlit/assets/fonts/flaticon_bokinn716c.eot	(from https://html.themewant.com/moonlit/assets/fonts/flaticon_bokinn.css)
16:35:49	0/0	---M--	429	error ('Too%20Many%20Requests')	text/html	date:Tue,%2020%20Jan%202026%2013:35:49%20GMT	https://html.themewant.com/moonlit/assets/fonts/flaticon_bokinn.ttf?237dfe65834f05ae55285c68505d7dff	C:/My%20Web%20Sites/Boston%20suites/html.themewant.com/moonlit/assets/fonts/flaticon_bokinn716c.ttf	(from https://html.themewant.com/moonlit/assets/fonts/flaticon_bokinn.css)
16:35:50	0/0	---M--	429	error ('Too%20Many%20Requests')	text/html	date:Tue,%2020%20Jan%202026%2013:35:49%20GMT	https://html.themewant.com/moonlit/assets/fonts/flaticon_bokinn.svg?237dfe65834f05ae55285c68505d7dff	C:/My%20Web%20Sites/Boston%20suites/html.themewant.com/moonlit/assets/fonts/flaticon_bokinn716c.svg	(from https://html.themewant.com/moonlit/assets/fonts/flaticon_bokinn.css)
16:35:50	4511/4511	---M-Z	404	error ('Not%20Found')	text/html	etag:%22119f-68074bd6-9434f88ca4ff284b;gz%22	https://html.themewant.com/moonlit/assets/css/images/ui-icons_444444_256x240.png	C:/My%20Web%20Sites/Boston%20suites/html.themewant.com/moonlit/assets/css/images/ui-icons_444444_256x240.png	(from https://html.themewant.com/moonlit/assets/css/plugins.min.css)
16:35:51	4511/4511	---M-Z	404	error ('Not%20Found')	text/html	etag:%22119f-68074bd6-9434f88ca4ff284b;gz%22	https://html.themewant.com/moonlit/assets/css/images/ui-icons_555555_256x240.png	C:/My%20Web%20Sites/Boston%20suites/html.themewant.com/moonlit/assets/css/images/ui-icons_555555_256x240.png	(from https://html.themewant.com/moonlit/assets/css/plugins.min.css)
16:35:51	4511/4511	---M-Z	404	error ('Not%20Found')	text/html	etag:%22119f-68074bd6-9434f88ca4ff284b;gz%22	https://html.themewant.com/moonlit/assets/css/images/ui-icons_ffffff_256x240.png	C:/My%20Web%20Sites/Boston%20suites/html.themewant.com/moonlit/assets/css/images/ui-icons_ffffff_256x240.png	(from https://html.themewant.com/moonlit/assets/css/plugins.min.css)
16:35:52	4511/4511	---M-Z	404	error ('Not%20Found')	text/html	etag:%22119f-68074bd6-9434f88ca4ff284b;gz%22	https://html.themewant.com/moonlit/assets/css/images/ui-icons_777620_256x240.png	C:/My%20Web%20Sites/Boston%20suites/html.themewant.com/moonlit/assets/css/images/ui-icons_777620_256x240.png	(from https://html.themewant.com/moonlit/assets/css/plugins.min.css)
16:35:52	4511/4511	---M-Z	404	error ('Not%20Found')	text/html	etag:%22119f-68074bd6-9434f88ca4ff284b;gz%22	https://html.themewant.com/moonlit/assets/css/images/ui-icons_cc0000_256x240.png	C:/My%20Web%20Sites/Boston%20suites/html.themewant.com/moonlit/assets/css/images/ui-icons_cc0000_256x240.png	(from https://html.themewant.com/moonlit/assets/css/plugins.min.css)
16:35:53	4511/4511	---M-Z	404	error ('Not%20Found')	text/html	etag:%22119f-68074bd6-9434f88ca4ff284b;gz%22	https://html.themewant.com/moonlit/assets/css/images/ui-icons_777777_256x240.png	C:/My%20Web%20Sites/Boston%20suites/html.themewant.com/moonlit/assets/css/images/ui-icons_777777_256x240.png	(from https://html.themewant.com/moonlit/assets/css/plugins.min.css)
16:35:53	0/0	---M--	429	error ('Too%20Many%20Requests')	text/html	date:Tue,%2020%20Jan%202026%2013:35:53%20GMT	https://html.themewant.com/moonlit/assets/images/shape/left.svg	C:/My%20Web%20Sites/Boston%20suites/html.themewant.com/moonlit/assets/images/shape/left.svg	(from https://html.themewant.com/moonlit/assets/css/style.css)
16:35:54	0/0	---M--	429	error ('Too%20Many%20Requests')	text/html	date:Tue,%2020%20Jan%202026%2013:35:53%20GMT	https://html.themewant.com/moonlit/assets/images/shape/right.svg	C:/My%20Web%20Sites/Boston%20suites/html.themewant.com/moonlit/assets/images/shape/right.svg	(from https://html.themewant.com/moonlit/assets/css/style.css)
16:35:54	0/0	---M--	429	error ('Too%20Many%20Requests')	text/html	date:Tue,%2020%20Jan%202026%2013:35:54%20GMT	https://html.themewant.com/moonlit/assets/images/shape/section__style__two.svg	C:/My%20Web%20Sites/Boston%20suites/html.themewant.com/moonlit/assets/images/shape/section__style__two.svg	(from https://html.themewant.com/moonlit/assets/css/style.css)
16:35:55	0/0	---M--	429	error ('Too%20Many%20Requests')	text/html	date:Tue,%2020%20Jan%202026%2013:35:54%20GMT	https://html.themewant.com/moonlit/assets/images/shape/section__style__three-1.svg	C:/My%20Web%20Sites/Boston%20suites/html.themewant.com/moonlit/assets/images/shape/section__style__three-1.svg	(from https://html.themewant.com/moonlit/assets/css/style.css)
